sector,age,gender,origin_region,italian_region,years_in_italy,italian_language_level,weekly_work_hours,knows_stp_rights,has_used_stp,er_only_healthcare,workplace_injury_12m,unmet_healthcare_need,fear_of_deportation
Logistics,24,Male,Sub-Saharan Africa,Campania,0.5,Basic,58,0,0,1,0,1,1
Domestic Work,25,Male,South Asia,Lazio,0.5,None,42,0,0,1,0,0,0
Agriculture,30,Male,North Africa,Lazio,5.4,Basic,29,0,0,1,0,1,1
Gig Economy,34,Male,South Asia,Calabria,1.5,Basic,58,0,0,1,1,1,1
Hospitality,39,Male,South Asia,Lombardia,6.4,Intermediate,41,0,0,1,0,1,1
Hospitality,25,Male,Latin America,Toscana,2.3,Fluent,59,0,0,1,0,0,1
Hospitality,43,Female,Latin America,Lombardia,2.4,Basic,55,0,0,1,0,0,0
Domestic Work,29,Male,Southeast Asia,Emilia-Romagna,2.9,Fluent,64,0,0,1,0,1,1
Agriculture,31,Male,Southeast Asia,Puglia,5.0,Basic,67,0,0,1,0,0,0
Agriculture,26,Female,Eastern Europe,Lazio,1.3,Intermediate,55,0,0,0,1,0,1
Hospitality,18,Male,South Asia,Lombardia,0.5,None,49,1,0,1,1,0,0
Domestic Work,39,Male,Latin America,Emilia-Romagna,3.2,Fluent,60,0,0,1,0,1,0
Construction,37,Male,Latin America,Toscana,1.6,None,43,0,0,1,0,0,1
Hospitality,29,Female,Latin America,Toscana,2.3,Basic,56,0,0,1,0,1,1
Hospitality,32,Male,North Africa,Lazio,4.2,Intermediate,53,1,0,0,0,0,1
Hospitality,36,Male,Sub-Saharan Africa,Lazio,2.7,Basic,52,0,0,1,0,1,1
Logistics,19,Male,Latin America,Puglia,3.9,Basic,60,0,0,1,0,0,1
Gig Economy,27,Female,Eastern Europe,Puglia,3.1,Fluent,51,1,0,1,0,0,1
Gig Economy,38,Male,Middle East,Campania,5.4,Basic,53,0,0,1,0,0,0
Logistics,21,Male,South Asia,Sicilia,4.9,Intermediate,59,0,0,1,0,1,1
Agriculture,34,Female,Sub-Saharan Africa,Campania,3.1,None,63,0,0,0,0,1,1
Hospitality,21,Male,Sub-Saharan Africa,Campania,4.5,Intermediate,55,1,1,1,0,0,0
Logistics,35,Female,Latin America,Lombardia,8.3,Intermediate,52,1,0,0,0,0,0
Logistics,31,Male,Sub-Saharan Africa,Campania,2.3,Basic,58,0,0,1,0,1,1
Gig Economy,19,Female,South Asia,Veneto,2.1,None,44,0,0,1,0,0,1
Construction,41,Male,Middle East,Lombardia,5.8,Intermediate,48,0,0,1,1,1,1
Hospitality,26,Female,South Asia,Campania,3.5,None,52,0,0,1,0,1,1
Gig Economy,25,Female,Latin America,Piemonte,0.5,None,49,0,0,1,0,1,1
Gig Economy,33,Male,Sub-Saharan Africa,Toscana,8.9,Intermediate,50,0,0,1,0,1,0
Hospitality,41,Male,Latin America,Emilia-Romagna,0.5,None,62,1,1,1,0,1,1
Agriculture,23,Male,North Africa,Puglia,5.5,Basic,56,0,0,1,0,0,1
Hospitality,32,Male,Southeast Asia,Lombardia,5.7,Intermediate,56,1,1,0,0,0,0
Hospitality,35,Male,Southeast Asia,Veneto,12.2,None,55,0,0,1,0,1,1
Domestic Work,37,Male,South Asia,Piemonte,0.5,None,43,0,0,1,0,1,1
Domestic Work,33,Male,South Asia,Veneto,3.6,None,48,0,0,1,0,0,0
Construction,29,Male,Sub-Saharan Africa,Lazio,2.2,Basic,63,0,0,1,1,1,1
Logistics,25,Male,Eastern Europe,Lombardia,1.6,Basic,59,0,0,1,0,1,1
Hospitality,32,Male,Southeast Asia,Sicilia,0.5,Basic,56,0,0,1,1,1,1
Agriculture,23,Male,North Africa,Veneto,3.3,Basic,54,0,0,1,1,0,0
Gig Economy,18,Male,Eastern Europe,Sicilia,2.6,None,65,0,0,1,0,1,1
Hospitality,35,Male,Sub-Saharan Africa,Emilia-Romagna,0.5,None,49,0,0,1,0,0,1
Gig Economy,39,Male,Latin America,Toscana,3.8,Basic,36,0,0,1,0,1,1
Hospitality,18,Male,Middle East,Piemonte,5.4,Fluent,61,1,0,1,0,0,1
Domestic Work,23,Male,Sub-Saharan Africa,Emilia-Romagna,5.8,Basic,47,0,0,1,0,1,1
Logistics,36,Male,North Africa,Campania,9.4,Basic,55,0,0,1,0,1,1
Agriculture,48,Female,South Asia,Veneto,2.1,None,55,0,0,1,0,1,1
Logistics,32,Male,North Africa,Piemonte,12.2,Intermediate,72,1,0,1,0,1,1
Gig Economy,26,Female,North Africa,Campania,8.0,Intermediate,52,0,0,1,0,0,1
Gig Economy,30,Female,South Asia,Campania,1.4,Basic,54,0,0,1,0,1,1
Hospitality,42,Female,North Africa,Lombardia,0.7,Intermediate,56,0,0,0,0,0,1
Domestic Work,26,Female,Sub-Saharan Africa,Puglia,2.3,Basic,50,0,0,1,0,1,1
Construction,25,Male,North Africa,Lombardia,2.1,None,66,0,0,0,0,1,1
Domestic Work,28,Male,North Africa,Emilia-Romagna,3.4,Basic,45,0,0,1,0,1,0
Domestic Work,24,Female,South Asia,Campania,3.5,Intermediate,36,1,1,1,0,1,0
Gig Economy,32,Male,Latin America,Campania,5.5,Intermediate,56,1,0,1,0,1,1
Domestic Work,44,Male,Eastern Europe,Toscana,2.9,Basic,51,0,0,1,0,1,1
Hospitality,34,Female,Sub-Saharan Africa,Lombardia,0.5,Basic,55,0,0,1,0,1,1
Hospitality,29,Female,South Asia,Emilia-Romagna,7.8,Intermediate,58,0,0,1,0,0,1
Hospitality,29,Female,Latin America,Piemonte,1.5,Intermediate,52,1,0,0,0,1,1
Logistics,19,Female,Middle East,Sicilia,14.2,Intermediate,58,0,0,1,0,0,1
Logistics,39,Female,Sub-Saharan Africa,Lombardia,0.5,Basic,56,0,0,0,0,1,1
Logistics,31,Male,Sub-Saharan Africa,Sicilia,12.7,Basic,53,1,1,1,0,1,1
Construction,30,Female,Sub-Saharan Africa,Emilia-Romagna,0.5,Basic,64,0,0,1,0,1,1
Logistics,57,Male,North Africa,Sicilia,1.1,Intermediate,46,0,0,1,0,0,0
Logistics,34,Male,South Asia,Veneto,0.5,None,76,1,1,0,0,1,1
Gig Economy,25,Female,Sub-Saharan Africa,Veneto,4.9,Intermediate,57,1,1,1,0,1,1
Hospitality,28,Male,Eastern Europe,Puglia,7.6,Intermediate,40,0,0,0,0,1,0
Construction,41,Male,North Africa,Sicilia,2.3,None,53,0,0,1,1,1,0
Hospitality,32,Male,Sub-Saharan Africa,Campania,10.6,Intermediate,53,1,1,1,1,1,0
Domestic Work,20,Female,North Africa,Lazio,3.6,None,51,0,0,1,0,1,1
Construction,39,Male,North Africa,Campania,4.0,Fluent,47,0,0,1,0,0,1
Hospitality,26,Female,South Asia,Campania,7.5,Fluent,55,0,0,1,0,1,0
Hospitality,46,Male,South Asia,Lazio,1.4,None,54,1,0,1,0,0,1
Construction,40,Female,Southeast Asia,Lazio,1.7,None,49,0,0,1,0,0,1
Agriculture,28,Female,South Asia,Sicilia,9.5,Intermediate,52,0,0,1,0,1,1
Agriculture,42,Male,Eastern Europe,Lombardia,9.2,Intermediate,67,1,0,1,0,0,1
Construction,32,Male,Southeast Asia,Toscana,15.0,None,41,0,0,1,0,0,0
Hospitality,38,Male,Sub-Saharan Africa,Lombardia,9.3,Intermediate,58,1,0,1,1,1,1
Logistics,35,Female,Sub-Saharan Africa,Lazio,0.5,None,64,0,0,1,0,1,1
Hospitality,25,Female,North Africa,Lombardia,6.9,Basic,53,0,0,1,0,1,1
Domestic Work,26,Female,Southeast Asia,Lazio,2.1,Intermediate,48,1,0,0,0,0,1
Agriculture,40,Male,Middle East,Piemonte,18.8,Fluent,69,0,0,0,0,1,1
Logistics,29,Female,Eastern Europe,Sicilia,2.6,Intermediate,52,0,0,1,0,1,1
Hospitality,28,Female,South Asia,Lazio,3.2,Intermediate,50,1,0,0,0,0,1
Logistics,24,Female,Eastern Europe,Campania,3.0,Basic,54,0,0,1,1,1,0
Logistics,35,Female,North Africa,Veneto,1.6,None,67,0,0,1,0,1,1
Agriculture,48,Male,North Africa,Sicilia,0.5,None,70,0,0,1,0,0,0
Agriculture,23,Male,South Asia,Piemonte,9.0,Fluent,48,0,0,0,0,1,1
Domestic Work,32,Female,Sub-Saharan Africa,Veneto,6.5,Fluent,56,1,0,1,0,0,1
Gig Economy,43,Female,Latin America,Toscana,0.6,Basic,56,0,0,1,0,1,1
Hospitality,31,Male,North Africa,Sicilia,6.0,Fluent,67,0,0,0,0,0,0
Agriculture,35,Male,Sub-Saharan Africa,Lombardia,3.9,Intermediate,63,1,1,1,0,0,0
Construction,23,Male,Sub-Saharan Africa,Campania,2.1,Basic,54,0,0,1,0,1,0
Gig Economy,35,Male,Southeast Asia,Puglia,1.2,Basic,59,0,0,1,0,1,1
Construction,30,Male,Eastern Europe,Toscana,7.9,None,60,0,0,1,0,1,1
Gig Economy,39,Female,Sub-Saharan Africa,Veneto,4.8,None,67,0,0,1,0,1,0
Gig Economy,41,Female,South Asia,Veneto,3.2,Intermediate,57,0,0,1,1,0,0
Gig Economy,52,Male,Sub-Saharan Africa,Lazio,3.8,Basic,51,0,0,1,0,0,0
Hospitality,36,Male,Southeast Asia,Veneto,0.5,Basic,45,0,0,1,0,1,1
Hospitality,34,Male,North Africa,Emilia-Romagna,2.6,Basic,50,0,0,1,0,0,0
Hospitality,33,Male,North Africa,Campania,0.9,None,43,0,0,1,0,1,1
Agriculture,29,Female,North Africa,Toscana,0.9,None,58,0,0,1,0,1,1
Logistics,34,Female,Sub-Saharan Africa,Sicilia,4.3,Basic,65,0,0,1,0,1,1
Gig Economy,29,Male,Latin America,Lombardia,9.7,Intermediate,49,1,1,0,0,1,1
Domestic Work,33,Female,North Africa,Campania,2.1,Intermediate,56,0,0,0,0,0,0
Hospitality,42,Female,South Asia,Campania,0.9,None,57,0,0,1,0,1,1
Gig Economy,23,Female,South Asia,Toscana,4.2,Intermediate,46,0,0,1,0,0,0
Construction,41,Male,North Africa,Lazio,8.2,Fluent,55,1,0,0,0,0,1
Hospitality,42,Female,Middle East,Emilia-Romagna,5.5,Fluent,58,0,0,1,0,0,1
Hospitality,31,Male,Sub-Saharan Africa,Sicilia,8.1,Fluent,56,1,0,0,0,1,0
Logistics,18,Male,Southeast Asia,Campania,3.1,Basic,59,0,0,1,1,1,1
Hospitality,27,Male,Latin America,Puglia,5.6,None,48,0,0,0,0,0,0
Domestic Work,42,Male,Sub-Saharan Africa,Calabria,0.6,None,44,0,0,0,0,1,1
Construction,31,Male,South Asia,Lombardia,1.7,None,73,0,0,1,0,1,1
Agriculture,24,Male,South Asia,Lazio,2.0,Intermediate,69,0,0,1,0,0,1
Domestic Work,27,Male,Eastern Europe,Puglia,2.9,Basic,36,0,0,0,0,1,0
Construction,38,Female,Sub-Saharan Africa,Puglia,10.6,Basic,36,0,0,1,1,1,1
Hospitality,36,Female,Sub-Saharan Africa,Lombardia,8.3,Basic,55,0,0,1,0,0,1
Domestic Work,30,Male,North Africa,Lombardia,0.6,None,55,0,0,1,0,1,1
Gig Economy,29,Female,Eastern Europe,Lombardia,0.8,Basic,45,1,0,1,0,1,1
Construction,28,Female,South Asia,Calabria,1.8,Intermediate,63,0,0,1,0,0,0
Domestic Work,24,Female,North Africa,Lombardia,1.4,Intermediate,48,1,0,1,0,1,1
Logistics,44,Male,North Africa,Veneto,3.8,Fluent,56,0,0,1,0,0,1
Hospitality,29,Female,North Africa,Sicilia,9.3,Basic,61,1,1,1,0,0,0
Hospitality,41,Female,Latin America,Lombardia,13.1,Basic,50,0,0,1,0,0,1
Gig Economy,44,Female,South Asia,Emilia-Romagna,4.2,Basic,47,0,0,1,0,1,1
Construction,39,Male,Latin America,Lazio,7.3,Intermediate,60,0,0,1,0,1,1
Domestic Work,28,Male,Eastern Europe,Sicilia,3.0,Fluent,47,1,0,1,0,1,1
Hospitality,35,Female,North Africa,Lazio,0.9,Basic,70,0,0,0,0,0,1
Gig Economy,31,Male,Eastern Europe,Toscana,3.0,Intermediate,55,0,0,1,0,1,1
Gig Economy,24,Male,North Africa,Toscana,3.2,Basic,55,0,0,1,0,1,0
Hospitality,34,Male,South Asia,Lazio,5.4,None,54,0,0,1,0,0,0
Hospitality,22,Female,Eastern Europe,Lombardia,1.0,None,61,0,0,1,0,1,1
Logistics,41,Female,North Africa,Campania,1.8,Basic,55,0,0,1,0,1,1
Domestic Work,28,Male,Eastern Europe,Lazio,1.8,Intermediate,50,0,0,1,0,0,1
Logistics,33,Female,Sub-Saharan Africa,Piemonte,12.8,Basic,50,0,0,1,0,1,1
Gig Economy,34,Male,Southeast Asia,Piemonte,2.3,Intermediate,58,1,0,0,0,1,1
Agriculture,29,Female,North Africa,Campania,5.6,Intermediate,62,0,0,1,0,1,1
Logistics,36,Female,South Asia,Emilia-Romagna,5.6,Basic,73,0,0,1,0,1,0
Domestic Work,28,Female,North Africa,Emilia-Romagna,1.2,Intermediate,67,1,0,1,0,1,1
Domestic Work,38,Female,Latin America,Sicilia,3.4,Basic,54,0,0,1,0,1,1
Logistics,21,Male,Latin America,Campania,9.0,Intermediate,58,0,0,1,1,0,0
Gig Economy,33,Female,North Africa,Lazio,2.6,Intermediate,42,1,1,1,1,0,0
Logistics,47,Male,Southeast Asia,Lazio,11.6,Fluent,65,0,0,1,0,1,1
Logistics,23,Female,Sub-Saharan Africa,Veneto,1.0,Basic,59,0,0,1,0,1,1
Hospitality,26,Female,North Africa,Campania,0.5,None,59,1,0,1,0,0,1
Agriculture,36,Female,Southeast Asia,Campania,8.9,Basic,73,1,0,1,0,0,0
Gig Economy,33,Male,Southeast Asia,Lombardia,7.5,Basic,43,0,0,1,0,1,1
Hospitality,34,Female,Eastern Europe,Toscana,19.6,Intermediate,47,0,0,1,0,0,0
Logistics,35,Male,Southeast Asia,Lazio,4.6,Fluent,56,0,0,1,0,1,1
Domestic Work,37,Male,South Asia,Lombardia,11.0,Intermediate,54,0,0,1,0,1,1
Hospitality,40,Female,Southeast Asia,Campania,7.0,Basic,59,0,0,0,0,0,1
Hospitality,35,Male,Sub-Saharan Africa,Lazio,7.4,Basic,47,0,0,0,0,0,1
Gig Economy,30,Female,South Asia,Emilia-Romagna,3.4,Basic,56,1,1,1,0,1,0
Domestic Work,37,Male,Sub-Saharan Africa,Campania,1.9,None,38,1,0,0,0,1,1
Hospitality,47,Male,North Africa,Campania,10.9,Basic,48,0,0,1,0,1,0
